espanol,awajun,wampis
agua,yumi,entsa/yumi
aguja,Daput,auj
ropa,Jaach,peatai
cuchillo,Kuchi,kuchii
cama,Pegak,peak
zapato,Sapat,sapat
asiento,Kutag,ekemtai
trusa,Wegamatai,weamatai
canasta,Chagkin,chankin
vainilla,Sekut,yumin yutai
0,atsau,ten
1,makichik,chik
2,jimag,jim
3,kampatum,kam
4,sup,sup
5,wej,wej
6,juk,juk
7,tsen,tsen
8,yuk,yuk
9,wam,wam
10,tun,tun
camote,Idauk,inchi
sachapapa,Kegke,kenke
bichuchi ,Sagku,eep/sanku
bituca,Pituk,pitiu
cocona,Kukuch,kukush
aguaje,Achu,achu
limon,Yumunug,llumun
naranja,Najag,yuran
lima,Nima,lim
papaya,Papai,wapae
maiz,Shaa,shaa
mani,Duse,nuse
cacao,Bakau,cakuu
perro,yawa,ñawaa
gallina,Atash,shiam
pato,Patu,patu
pavo,Paapu,paapu
cuy,Utu,utu
culebra,Dapi,napi
suri,Bukin,mukin
blanco,Puju,puju
verde,Semekmau,samek
negro,Shuwikin,mukusa
rojo,Kapantu,kapantin
amarillo,ñagku,yanku
celeste,wigka,winka
guacamayo,Takum,yampuna
camaron,Majunch,marunsh
tortuga,Kugkuim,kunkuim
sol,etsa,etsa
joven,Datsa,natsa
yuca,Mama,mama
lanza,Nagki,nanki
 arbol,Numi,numi
luna,Nantu,nantu
mujer,Nuwa,nuwach
diablo,Pasun,iwanch
niño,Uchi,uchii
balsa,Wawa,paapan
ciudad,Yakat,yakat
estrella,Yaya,yaa
abecedario,abacha,Achajak
A,a,a
CH,Cha,cha
E,ee,ee
I,ii,ii
J,ja,ja
K,ka,ka
M,ma,ma
N,na,na
Ñ,ña,ña
P,pa,Pa
R,ra,ra
S,sa,sa
SH,sha,sha
T,ta,ta
TS,tsa,tsa
U,u,uu
W,wa,wa
Y,ya,ya
